school_id,school,pathway,division,sector,class_year,grade11_school_year,nmsf_count,nmsf_status,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,nmsf_source_scope,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_rows,nmsf_per_100_grade11,notes
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2019,2017-18,,source_pending,,,,,,534,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2020,2018-19,,source_pending,,,,,,549,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2021,2019-20,,source_pending,,,,,,581,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2022,2020-21,,source_pending,,,,,,613,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2023,2021-22,2,verified_count,17 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/17-seniors-named-national-merit-scholarship-semifinalists/,2022-09-16,eb698326e9c1c9b0b76d961730e6c429d0f99c624fe5ded47558a5d7a7765481,APS high schools,637,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,0.313972,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2024,2022-23,,source_pending,,,,,,675,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2025,2023-24,2,verified_count,22 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/22-seniors-named-national-merit-scholarship-semifinalists/,2024-09-12,de5fdc39b014327562b25c13af29e100e5a1b43d49db4b9ac416ec2663dd661d,APS high schools,722,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_059,0.277008,
wakefield_high_school,Wakefield High School,Arlington,APS,Public,2026,2024-25,,source_pending,,,,,,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,
washington_liberty_high_school,Washington-Liberty High School,Arlington,APS,Public,2019,2017-18,,source_pending,,,,,,697,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_060,,
washington_liberty_high_school,Washington-Liberty High School,Arlington,APS,Public,2020,2018-19,,source_pending,,,,,,619,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_060,,
