school_id,school,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_file,enrollment_source_rows,enrollment_source_variable,pss_ppin,pss_name,pss_city,pss_zip,pss_imputation_flag
bishop_o_connell_high_school,Bishop O'Connell High School,2019,2017-18,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,,P290,A1904530,,,,
basis_independent_mclean,BASIS Independent McLean,2019,2017-18,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,,P290,A1703643,,,,
flint_hill_school,Flint Hill School,2019,2017-18,,private_pss_id_pending,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,,P290,,,,,
the_madeira_school,The Madeira School,2019,2017-18,81,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21468,P290,02063874,THE MADEIRA SCHOOL,MCLEAN,22102,0
oakcrest_school,Oakcrest School,2019,2017-18,,private_pss_id_pending,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,,P290,,,,,
potomac_school,Potomac School,2019,2017-18,,blank,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21473,P290,01433452,THE POTOMAC SCHOOL,MCLEAN,22101,0
trinity_christian_school,Trinity Christian School,2019,2017-18,61,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21485,P290,K9306124,TRINITY CHRISTIAN SCHOOL OF FAIRFAX,FAIRFAX,22030,0
trinity_school_at_meadow_view,Trinity School at Meadow View,2019,2017-18,16,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21488,P290,A0110062,TRINITY SCHOOL AT MEADOW VIEW,FALLS CHURCH,22042,0
immanuel_christian_high_school,Immanuel Christian High School,2019,2017-18,,blank,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21159,P290,02064266,IMMANUEL CHRISTIAN SCHOOL,SPRINGFIELD,22151,0
ideaventions_academy_for_mathematics_science,Ideaventions Academy for Mathematics & Science,2019,2017-18,,blank,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21157,P290,A1703665,IDEAVENTIONS ACADEMY FOR MATHEMATICS AND SCIENCE,RESTON,20191,0
new_school_of_northern_virginia,New School of Northern Virginia,2019,2017-18,21,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21471,P290,A9304211,THE NEW SCHOOL OF NORTHERN VIRGINIA,FAIRFAX,22031,0
pinnacle_academy,Pinnacle Academy,2019,2017-18,4,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21303,P290,A0990135,PINNACLE ACADEMY,OAKTON,22124,0
loudoun_school_for_advanced_studies,Loudoun School for Advanced Studies,2019,2017-18,,ambiguous_pss_id,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,,P290,,,,,
st_paul_vi_catholic_high_school,St. Paul VI Catholic High School,2019,2017-18,234,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21295,P290,02122129,PAUL VI CATHOLIC HIGH SCHOOL,FAIRFAX,22030,0
seton_school_manassas,Seton School (Manassas),2019,2017-18,49,reported,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,21356,P290,A9304184,SETON SCHOOL,MANASSAS,20110,0
st_john_paul_the_great_catholic_high_school,St. John Paul the Great Catholic High School,2019,2017-18,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2017-18 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1718_pu_csv.zip,2020-10-13,57b8f78cad046f2c50e1c82ba16ef892e5d322af573ab307a574e8ea45845d33,pss1718_pu_csv.zip,,P290,A0990136,,,,
bishop_o_connell_high_school,Bishop O'Connell High School,2021,2019-20,292,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,19696,P290,A1904530,BISHOP DENIS J. OCONNELL HIGH SCHOOL,ARLINGTON,22213,0
basis_independent_mclean,BASIS Independent McLean,2021,2019-20,34,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,19682,P290,A1703643,BASIS INDEPENDENT MCLEAN,MCLEAN,22102,0
flint_hill_school,Flint Hill School,2021,2019-20,,private_pss_id_pending,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,,,,,
the_madeira_school,The Madeira School,2021,2019-20,88,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,20197,P290,02063874,THE MADEIRA SCHOOL,MCLEAN,22102,0
oakcrest_school,Oakcrest School,2021,2019-20,,private_pss_id_pending,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,,,,,
potomac_school,Potomac School,2021,2019-20,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,01433452,,,,
trinity_christian_school,Trinity Christian School,2021,2019-20,70,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,20217,P290,K9306124,TRINITY CHRISTIAN SCHOOL OF FAIRFAX,FAIRFAX,22030,0
trinity_school_at_meadow_view,Trinity School at Meadow View,2021,2019-20,22,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,20220,P290,A0110062,TRINITY SCHOOL AT MEADOW VIEW,FALLS CHURCH,22042,0
immanuel_christian_high_school,Immanuel Christian High School,2021,2019-20,,blank,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,19893,P290,02064266,IMMANUEL CHRISTIAN SCHOOL,SPRINGFIELD,22151,0
ideaventions_academy_for_mathematics_science,Ideaventions Academy for Mathematics & Science,2021,2019-20,3,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,19891,P290,A1703665,IDEAVENTIONS ACADEMY FOR MATHEMATICS AND SCIENCE,RESTON,20191,0
new_school_of_northern_virginia,New School of Northern Virginia,2021,2019-20,28,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,20201,P290,A9304211,THE NEW SCHOOL OF NORTHERN VIRGINIA,FAIRFAX,22031,0
pinnacle_academy,Pinnacle Academy,2021,2019-20,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,A0990135,,,,
loudoun_school_for_advanced_studies,Loudoun School for Advanced Studies,2021,2019-20,,ambiguous_pss_id,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,,,,,
st_paul_vi_catholic_high_school,St. Paul VI Catholic High School,2021,2019-20,205,reported,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,20023,P290,02122129,ST PAUL VI CATHOLIC HIGH SCHOOL,FAIRFAX,22030,0
seton_school_manassas,Seton School (Manassas),2021,2019-20,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,A9304184,,,,
st_john_paul_the_great_catholic_high_school,St. John Paul the Great Catholic High School,2021,2019-20,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2019-20 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss1920_pu_csv.zip,2021-09-24,e382b00c0b6c88bf2b6618ce6b5a74907c2a8509a5d01c94d4f00c810ea3bfb7,pss1920_pu_csv.zip,,P290,A0990136,,,,
bishop_o_connell_high_school,Bishop O'Connell High School,2023,2021-22,314,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,15125,P290,A1904530,BISHOP DENIS J. OCONNELL HIGH SCHOOL,ARLINGTON,22213,0
basis_independent_mclean,BASIS Independent McLean,2023,2021-22,29,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,13700,P290,A1703643,BASIS INDEPENDENT MCLEAN,MCLEAN,22102,0
flint_hill_school,Flint Hill School,2023,2021-22,,private_pss_id_pending,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,,P290,,,,,
the_madeira_school,The Madeira School,2023,2021-22,80,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,7165,P290,02063874,THE MADEIRA SCHOOL,MCLEAN,22102,0
oakcrest_school,Oakcrest School,2023,2021-22,,private_pss_id_pending,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,,P290,,,,,
potomac_school,Potomac School,2023,2021-22,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,,P290,01433452,,,,
trinity_christian_school,Trinity Christian School,2023,2021-22,65,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,22167,P290,K9306124,TRINITY CHRISTIAN SCHOOL OF FAIRFAX,FAIRFAX,22030,0
trinity_school_at_meadow_view,Trinity School at Meadow View,2023,2021-22,27,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,8036,P290,A0110062,TRINITY SCHOOL AT MEADOW VIEW,FALLS CHURCH,22042,0
immanuel_christian_high_school,Immanuel Christian High School,2023,2021-22,23,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,7170,P290,02064266,IMMANUEL CHRISTIAN SCHOOL,SPRINGFIELD,22151,0
ideaventions_academy_for_mathematics_science,Ideaventions Academy for Mathematics & Science,2023,2021-22,4,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,13707,P290,A1703665,IDEAVENTIONS ACADEMY FOR MATHEMATICS AND SCIENCE,RESTON,20191,0
new_school_of_northern_virginia,New School of Northern Virginia,2023,2021-22,17,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,18853,P290,A9304211,THE NEW SCHOOL OF NORTHERN VIRGINIA,FAIRFAX,22031,0
pinnacle_academy,Pinnacle Academy,2023,2021-22,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,,P290,A0990135,,,,
loudoun_school_for_advanced_studies,Loudoun School for Advanced Studies,2023,2021-22,,ambiguous_pss_id,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,,P290,,,,,
st_paul_vi_catholic_high_school,St. Paul VI Catholic High School,2023,2021-22,272,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,7276,P290,02122129,ST PAUL VI CATHOLIC HIGH SCHOOL,CHANTILLY,20152,0
seton_school_manassas,Seton School (Manassas),2023,2021-22,,pss_row_not_found,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,,P290,A9304184,,,,
st_john_paul_the_great_catholic_high_school,St. John Paul the Great Catholic High School,2023,2021-22,137,reported,NCES Private School Universe Survey (PSS) 2021-22 Public-Use CSV,https://nces.ed.gov/surveys/pss/zip/pss2122_pu_csv.zip,2023-09-22,82acee7abc91dc2b07863405ca3fa172904fc45bf66f54191bbc0b0ad79022b1,pss2122_pu_csv.zip,10617,P290,A0990136,ST JOHN PAUL THE GREAT CATHOLIC HIGH SCHOOL,DUMFRIES,22026,0
