school_id,school,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_file,enrollment_source_rows,enrollment_source_variable,pss_ppin,pss_name,pss_city,pss_zip,pss_imputation_flag,locator_retrieval_date,locator_match_status,locator_nces_school_id,locator_page_type,notes
bishop_o_connell_high_school,Bishop O'Connell High School,2025,2023-24,282,reported,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&State=51&NumOfStudentsRange=more&IncGrade=12&LoGrade=-1&HiGrade=-1&ID=A1904530,2023-24,42bcc983440da3bfe35a3872d100fac5b109d29325a32e6a01990fb456859558,data/raw/enrollment/pss_locator_2023_24/bishop_o_connell_high_school_A1904530.html,Enrollment by Grade: 11,PSS_ENROLL_11,A1904530,Bishop Denis J. Oconnell High School,,,not_available_locator,2026-06-20,matched,A1904530,detail,Current locator ID follows curated public-use PPIN.
basis_independent_mclean,BASIS Independent McLean,2025,2023-24,,locator_search_not_found,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_list.asp?Search=1&SchoolName=BASIS%20Independent%20McLean&State=51&NumOfStudentsRange=more&LoGrade=-1&HiGrade=-1,2023-24,3c7bb62118b2b125339e824076211c07c26093868213313806fe0e59843ce167,data/raw/enrollment/pss_locator_2023_24/basis_independent_mclean_search.html,search detail links=0,PSS_ENROLL_11,,,,,,2026-06-20,locator_search_not_found,,search,Official locator search returned no current row on 2026-06-20.
flint_hill_school,Flint Hill School,2025,2023-24,,locator_search_not_found,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_list.asp?Search=1&SchoolName=Flint%20Hill%20School&State=51&NumOfStudentsRange=more&LoGrade=-1&HiGrade=-1,2023-24,82f2bb009e2b2f5b80af7c7a5368ea58fa5179e394050b8ba96a2d0a7c1cfaa8,data/raw/enrollment/pss_locator_2023_24/flint_hill_school_search.html,search detail links=0,PSS_ENROLL_11,,,,,,2026-06-20,locator_search_not_found,,search,Official locator search returned no current row on 2026-06-20.
the_madeira_school,The Madeira School,2025,2023-24,85,reported,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&State=51&NumOfStudentsRange=more&IncGrade=12&LoGrade=-1&HiGrade=-1&ID=02063874,2023-24,ab0e46923a5ca9ac5f042dd0c2dc96401c27b6a676ca0f9f69c3e89d48945a77,data/raw/enrollment/pss_locator_2023_24/the_madeira_school_02063874.html,Enrollment by Grade: 11,PSS_ENROLL_11,02063874,The Madeira School,,,not_available_locator,2026-06-20,matched,02063874,detail,Current locator ID follows curated public-use PPIN.
oakcrest_school,Oakcrest School,2025,2023-24,,locator_search_not_found,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_list.asp?Search=1&SchoolName=Oakcrest&State=51&NumOfStudentsRange=more&LoGrade=-1&HiGrade=-1,2023-24,add5d078bc20009acba0d0100de62f8c9f50a8165f5999a4a33d94697fc90991,data/raw/enrollment/pss_locator_2023_24/oakcrest_school_search.html,search detail links=0,PSS_ENROLL_11,,,,,,2026-06-20,locator_search_not_found,,search,Official locator search returned no current row on 2026-06-20.
potomac_school,Potomac School,2025,2023-24,,locator_search_not_found,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_list.asp?Search=1&SchoolName=The%20Potomac%20School&State=51&NumOfStudentsRange=more&LoGrade=-1&HiGrade=-1,2023-24,e697abbc72bba6a6bba392d758563e62c1a58629faa7c45ea30235a1917aec33,data/raw/enrollment/pss_locator_2023_24/potomac_school_search.html,search detail links=0,PSS_ENROLL_11,,,,,,2026-06-20,locator_search_not_found,,search,Official locator search returned no current row on 2026-06-20.
trinity_christian_school,Trinity Christian School,2025,2023-24,67,reported,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&State=51&NumOfStudentsRange=more&IncGrade=12&LoGrade=-1&HiGrade=-1&ID=K9306124,2023-24,a0716b809695eddf3031be8577afd7637f5465630e713db26e9f23ea6031817d,data/raw/enrollment/pss_locator_2023_24/trinity_christian_school_K9306124.html,Enrollment by Grade: 11,PSS_ENROLL_11,K9306124,Trinity Christian School Of Fairfax,,,not_available_locator,2026-06-20,matched,K9306124,detail,Current locator ID follows curated public-use PPIN.
trinity_school_at_meadow_view,Trinity School at Meadow View,2025,2023-24,33,reported,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&State=51&NumOfStudentsRange=more&IncGrade=12&LoGrade=-1&HiGrade=-1&ID=A0110062,2023-24,42f9bc3dccd423fe91b41e3a9969f02075649000b7944f550f1e745876fde308,data/raw/enrollment/pss_locator_2023_24/trinity_school_at_meadow_view_A0110062.html,Enrollment by Grade: 11,PSS_ENROLL_11,A0110062,Trinity Academy Meadow View,,,not_available_locator,2026-06-20,matched,A0110062,detail,Current locator ID follows curated public-use PPIN.
immanuel_christian_high_school,Immanuel Christian High School,2025,2023-24,40,reported,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&State=51&NumOfStudentsRange=more&IncGrade=12&LoGrade=-1&HiGrade=-1&ID=02064266,2023-24,28481864dd40509bf3959f5aa01a78889f87a4d772c9c841a36b9d9f8e9e3a43,data/raw/enrollment/pss_locator_2023_24/immanuel_christian_high_school_02064266.html,Enrollment by Grade: 11,PSS_ENROLL_11,02064266,Immanuel Christian School,,,not_available_locator,2026-06-20,matched,02064266,detail,Current locator ID follows curated public-use PPIN.
ideaventions_academy_for_mathematics_science,Ideaventions Academy for Mathematics & Science,2025,2023-24,3,reported,NCES Private School Search locator (PSS 2023-24),https://nces.ed.gov/surveys/pss/privateschoolsearch/school_detail.asp?Search=1&State=51&NumOfStudentsRange=more&IncGrade=12&LoGrade=-1&HiGrade=-1&ID=A1703665,2023-24,bcbbc05ebd824405c51971014864e7f4aef223358ca1e4e587a293335678367e,data/raw/enrollment/pss_locator_2023_24/ideaventions_academy_for_mathematics_science_A1703665.html,Enrollment by Grade: 11,PSS_ENROLL_11,A1703665,Ideaventions Academy For Mathematics And Science,,,not_available_locator,2026-06-20,matched,A1703665,detail,Current locator ID follows curated public-use PPIN.
