source_row_id,source_sheet,source_row,school_name_source,state_name,school_year,grade11_students,grade11_status,grades9_12_students,grades9_12_status
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2023-24,569,reported,2192,reported
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2022-23,562,reported,2182,reported
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2021-22,511,reported,2252,reported
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2020-21,601,reported,2233,reported
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2019-20,568,reported,2218,reported
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2018-19,541,reported,2240,reported
sheet6_row_008,Sheet6,8,ANNANDALE HIGH,Virginia,2017-18,596,reported,2187,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2023-24,551,reported,2137,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2022-23,582,reported,2322,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2021-22,640,reported,2555,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2020-21,767,reported,2928,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2019-20,704,reported,2962,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2018-19,804,reported,3032,reported
sheet6_row_009,Sheet6,9,BATTLEFIELD HIGH,Virginia,2017-18,735,reported,2964,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2023-24,218,reported,861,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2022-23,232,reported,883,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2021-22,205,reported,940,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2020-21,264,reported,981,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2019-20,242,reported,998,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2018-19,254,reported,1019,reported
sheet6_row_010,Sheet6,10,BRENTSVILLE DISTRICT HIGH,Virginia,2017-18,268,reported,1034,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2023-24,454,reported,1763,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2022-23,412,reported,1757,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2021-22,445,reported,1799,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2020-21,467,reported,1795,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2019-20,473,reported,1850,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2018-19,441,reported,1863,reported
sheet6_row_011,Sheet6,11,BRIAR WOODS HIGH,Virginia,2017-18,419,reported,1764,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2023-24,394,reported,1586,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2022-23,407,reported,1583,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2021-22,379,reported,1570,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2020-21,410,reported,1582,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2019-20,382,reported,1563,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2018-19,405,reported,1600,reported
sheet6_row_012,Sheet6,12,BROAD RUN HIGH,Virginia,2017-18,407,reported,1554,reported
sheet6_row_013,Sheet6,13,C.D. HYLTON HIGH,Virginia,2023-24,418,reported,1891,reported
sheet6_row_013,Sheet6,13,C.D. HYLTON HIGH,Virginia,2022-23,501,reported,1960,reported
