school_id,school,nces_school_id,nces_lea_id,nces_school_name,nces_lea_name,nces_city,nces_zip,nces_grade_low,nces_grade_high,nces_level,nces_school_type,nces_operational_status,source_title,source_url,source_retrieval_date,source_file_sha256
wakefield_high_school,Wakefield High School,510027000111,5100270,Wakefield High,Arlington County Public Schools,Arlington,22206,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
washington_liberty_high_school,Washington-Liberty High School,510027000112,5100270,Washington-Liberty High,Arlington County Public Schools,Arlington,22201,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
yorktown_high_school,Yorktown High School,510027000115,5100270,Yorktown High,Arlington County Public Schools,Arlington,22207,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,510027002659,5100270,HB Woodlawn Secondary Program,Arlington County Public Schools,Arlington,22209,N,N,Not applicable,Alternative School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
meridian_high_school,Meridian High School,510129000283,5101290,Meridian High,Falls Church City Public Schools,Falls Church,22043,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
briar_woods_high_school,Briar Woods High School,510225002451,5102250,Briar Woods High,Loudoun County Public Schools,Ashburn,20148,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
broad_run_high_school,Broad Run High School,510225000913,5102250,Broad Run High,Loudoun County Public Schools,Ashburn,20147,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
dominion_high_school,Dominion High School,510225002411,5102250,Dominion High,Loudoun County Public Schools,Sterling,20164,PK,12,Other,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
freedom_high_school_south_riding,Freedom High School (South Riding),510225002447,5102250,Freedom High,Loudoun County Public Schools,South Riding,20152,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
heritage_high_school_leesburg,Heritage High School (Leesburg),510225002285,5102250,Heritage High,Loudoun County Public Schools,Leesburg,20175,PK,12,Other,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
independence_high_school,Independence High School,510225003061,5102250,Independence High,Loudoun County Public Schools,Ashburn,20148,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
