school_id,school,sector,tj_pathway,division,district_name,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_file,enrollment_source_rows,enrollment_source_variable,nces_school_id,pss_ppin,pss_imputation_flag,notes
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2019,2017-18,534,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2020,2018-19,549,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2021,2019-20,581,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2022,2020-21,613,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2023,2021-22,637,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2024,2022-23,675,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2025,2023-24,722,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_059,,510027000111,,,
wakefield_high_school,Wakefield High School,public,Arlington,APS,Arlington County Public Schools,2026,2024-25,665,reported,"NCES CCD 2024-25 Public Elementary/Secondary School Universe Survey Data, v.2a, School Membership",https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,2025-07-30,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,ccd_sch_052_2425_l_1a_073025.zip,10199243,GRADE=11 total STUDENT_COUNT,510027000111,,,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,Arlington County Public Schools,2019,2017-18,697,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_060,,510027000112,,,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,Arlington County Public Schools,2020,2018-19,619,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_060,,510027000112,,,
