school_id,school,sector,tj_pathway,division,class_year,grade11_school_year,nmsf_count,nmsf_status,source_id,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,nmsf_source_scope,source_completeness,observation_basis,notes
wakefield_high_school,Wakefield High School,public,Arlington,APS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
wakefield_high_school,Wakefield High School,public,Arlington,APS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
washington_liberty_high_school,Washington-Liberty High School,public,Arlington,APS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
yorktown_high_school,Yorktown High School,public,Arlington,APS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2020,2018-19,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2021,2019-20,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2022,2020-21,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2023,2021-22,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2024,2022-23,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2025,2023-24,,missing_source,,,,,,,,no_source_recorded,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,public,Arlington,APS,2026,2024-25,,missing_source,,,,,,,,no_source_recorded,
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,2019,2017-18,,missing_source,,,,,,,,no_source_recorded,Renamed from George Mason HS in 2021
