school_id,school,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_sheet,enrollment_source_rows
wakefield_high_school,Wakefield High School,2019,2017-18,534,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2020,2018-19,549,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2021,2019-20,581,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2022,2020-21,613,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2023,2021-22,637,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2024,2022-23,675,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2025,2023-24,722,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_059
wakefield_high_school,Wakefield High School,2026,2024-25,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
washington_liberty_high_school,Washington-Liberty High School,2019,2017-18,697,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2020,2018-19,619,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2021,2019-20,561,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2022,2020-21,629,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2023,2021-22,663,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2024,2022-23,621,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2025,2023-24,693,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_060
washington_liberty_high_school,Washington-Liberty High School,2026,2024-25,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
yorktown_high_school,Yorktown High School,2019,2017-18,528,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2020,2018-19,551,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2021,2019-20,614,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2022,2020-21,598,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2023,2021-22,701,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2024,2022-23,567,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2025,2023-24,649,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,sheet6_row_067
yorktown_high_school,Yorktown High School,2026,2024-25,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2019,2017-18,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2020,2018-19,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2021,2019-20,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2022,2020-21,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2023,2021-22,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2024,2022-23,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2025,2023-24,,source_row_not_found,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,Sheet6,
