school_id,school,tj_pathway,pathway_status,pathway_assignment_method,pathway_source_title,pathway_source_path,pathway_source_date,pathway_source_hash,pathway_source_note,division,district_name,sector,analytical_unit_type,nces_school_id,nces_lea_id,identifier_status,first_operating_class_year,first_operating_grade11_school_year,last_operating_class_year,last_operating_grade11_school_year,source_workbook,source_sheet,source_row,notes
wakefield_high_school,Wakefield High School,Arlington,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,APS,Arlington County Public Schools,public,public_high_school,510027000111,5100270,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,2,
washington_liberty_high_school,Washington-Liberty High School,Arlington,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,APS,Arlington County Public Schools,public,public_high_school,510027000112,5100270,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,3,
yorktown_high_school,Yorktown High School,Arlington,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,APS,Arlington County Public Schools,public,public_high_school,510027000115,5100270,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,4,
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,Arlington,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,APS,Arlington County Public Schools,public,public_secondary_program,510027002659,5100270,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,5,
meridian_high_school,Meridian High School,Falls Church City,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,Falls Church City,Falls Church City Public Schools,public,public_high_school,510129000283,5101290,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,6,Renamed from George Mason HS in 2021
briar_woods_high_school,Briar Woods High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002451,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,7,
broad_run_high_school,Broad Run High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225000913,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,8,
dominion_high_school,Dominion High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002411,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,9,
freedom_high_school_south_riding,Freedom High School (South Riding),Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002447,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,10,
heritage_high_school_leesburg,Heritage High School (Leesburg),Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002285,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,11,
independence_high_school,Independence High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225003061,5102250,matched_2023_24_ccd,2021,2019-20,,,docs/source_notes/tj psat investigation.xlsx,raw,12,Opened 2019–20
