source_id,class_year,city,school_name_source,matched_school_id,matched_school,nmsf_count,snapshot_record_type,snapshot_notes
nmsc_virginia_2026_semifinalists,2026,,ALDIE JOHN CHAMPE H. S.,john_champe_high_school,John Champe High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,ALEXANDRIA THOMAS A. EDISON H. S.,edison_high_school,Edison High School,2,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,ARLINGTON ARLINGTON CAREER CENTER,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,,ASHBURN BRIAR WOODS H. S.,briar_woods_high_school,Briar Woods High School,8,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,BISHOP IRETON H. S.,,,3,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,,BISHOP O'CONNELL H. S.,bishop_o_connell_high_school,Bishop O'Connell High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,BROAD RUN H. S.,broad_run_high_school,Broad Run High School,3,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,HOMESCHOOL / ONLINE SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,,IMMANUEL CHRISTIAN SCHOOL,immanuel_christian_high_school,Immanuel Christian High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,INDEPENDENCE H. S.,independence_high_school,Independence High School,8,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,LIGHTRIDGE H. S.,lightridge_high_school,Lightridge High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,ROCK RIDGE H. S.,rock_ridge_high_school,Rock Ridge High School,7,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,ST. STEPHEN'S AND ST. AGNES SCHOOL,,,4,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,,STONE BRIDGE H. S.,stone_bridge_high_school,Stone Bridge High School,4,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,THE H. B. WOODLAWN PROGRAM,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,6,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,THOMAS JEFFERSON H. S. FOR SCIENCE AND TECHNOLOGY,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,113,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,WASHINGTON - LIBERTY H. S.,washington_liberty_high_school,Washington-Liberty High School,9,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,WEST POTOMAC H. S.,west_potomac_high_school,West Potomac High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,,YORKTOWN H. S.,yorktown_high_school,Yorktown High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,ASHLAND,PATRICK HENRY H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,BLACKSBURG,BLACKSBURG H. S.,,,3,out_of_roster_count,outside canonical roster or unmatched; student names omitted
