school_id,school,tj_pathway,nmsf_2023,nmsf_2024,nmsf_2025,nmsf_2026,rate_2023,rate_2024,rate_2025,rate_2026,count_change_2024_2025,count_change_2025_2026,count_change_2024_2026,rate_change_2024_2025,rate_change_2025_2026,rate_change_2024_2026
oakton_high_school,Oakton High School,FCPS Region 1,11.000000,14.000000,11.000000,25.000000,1.632047,2.028986,1.765650,3.511236,-3.000000,14.000000,11.000000,-0.263336,1.745586,1.482250
marshall_high_school,Marshall High School,FCPS Region 2,7.000000,6.000000,5.000000,15.000000,1.377953,1.162791,0.897666,2.645503,-1.000000,10.000000,9.000000,-0.265125,1.747837,1.482712
chantilly_high_school,Chantilly High School,FCPS Region 5,10.000000,13.000000,10.000000,17.000000,1.422475,1.785714,1.398601,2.176697,-3.000000,7.000000,4.000000,-0.387113,0.778096,0.390983
freedom_high_school_south_riding,Freedom High School (South Riding),Loudoun,3.000000,7.000000,2.000000,7.000000,0.598802,1.377953,0.389864,1.428571,-5.000000,5.000000,0.000000,-0.988089,1.038707,0.050618
centreville_high_school,Centreville High School,FCPS Region 4,3.000000,0.000000,3.000000,7.000000,0.459418,0.000000,0.460829,1.120000,3.000000,4.000000,7.000000,0.460829,0.659171,1.120000
langley_high_school,Langley High School,FCPS Region 1,15.000000,13.000000,19.000000,23.000000,2.879079,2.524272,3.531599,4.315197,6.000000,4.000000,10.000000,1.007327,0.783598,1.790925
mclean_high_school,McLean High School,FCPS Region 2,23.000000,15.000000,16.000000,20.000000,3.820598,2.572899,2.555911,3.139717,1.000000,4.000000,5.000000,-0.016988,0.583806,0.566818
briar_woods_high_school,Briar Woods High School,Loudoun,8.000000,5.000000,5.000000,8.000000,1.797753,1.213592,1.101322,1.684211,0.000000,3.000000,3.000000,-0.112270,0.582889,0.470619
h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,Arlington,3.000000,1.000000,3.000000,6.000000,2.752294,0.917431,2.608696,5.454545,2.000000,3.000000,5.000000,1.691265,2.845849,4.537114
westfield_high_school,Westfield High School,FCPS Region 5,5.000000,5.000000,3.000000,6.000000,0.810373,0.728863,0.451807,0.865801,-2.000000,3.000000,1.000000,-0.277056,0.413994,0.136938
independence_high_school,Independence High School,Loudoun,3.000000,5.000000,6.000000,8.000000,0.668151,1.037344,1.145038,1.495327,1.000000,2.000000,3.000000,0.107694,0.350289,0.457983
rock_ridge_high_school,Rock Ridge High School,Loudoun,2.000000,12.000000,5.000000,7.000000,0.588235,3.448276,1.373626,1.741294,-7.000000,2.000000,-5.000000,-2.074650,0.367668,-1.706982
stone_bridge_high_school,Stone Bridge High School,Loudoun,3.000000,3.000000,2.000000,4.000000,0.721154,0.680272,0.462963,1.015228,-1.000000,2.000000,1.000000,-0.217309,0.552265,0.334956
washington_liberty_high_school,Washington-Liberty High School,Arlington,7.000000,6.000000,7.000000,9.000000,1.055807,0.966184,1.010101,1.185771,1.000000,2.000000,3.000000,0.043917,0.175670,0.219587
woodgrove_high_school,Woodgrove High School,Loudoun,1.000000,0.000000,0.000000,2.000000,0.255102,0.000000,0.000000,0.510204,0.000000,2.000000,2.000000,0.000000,0.510204,0.510204
woodson_high_school,Woodson High School,FCPS Region 5,6.000000,12.000000,6.000000,8.000000,0.983607,1.809955,1.045296,1.238390,-6.000000,2.000000,-4.000000,-0.764659,0.193094,-0.571565
