school_id,school,sector,analytical_unit_type,division,tj_pathway,balanced_count_2023_2026,balanced_public_rate_2023_2026,balanced_private_count_2023_2026
basis_independent_mclean,BASIS Independent McLean,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
bishop_o_connell_high_school,Bishop O'Connell High School,private,private_school,APS,Private/homeschool unallocated,True,False,True
flint_hill_school,Flint Hill School,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
ideaventions_academy_for_mathematics_science,Ideaventions Academy for Mathematics & Science,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
immanuel_christian_high_school,Immanuel Christian High School,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
loudoun_school_for_advanced_studies,Loudoun School for Advanced Studies,private,private_school,LCPS,Private/homeschool unallocated,True,False,True
new_school_of_northern_virginia,New School of Northern Virginia,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
oakcrest_school,Oakcrest School,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
pinnacle_academy,Pinnacle Academy,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
potomac_school,Potomac School,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
seton_school_manassas,Seton School (Manassas),private,private_school,PWCS,Private/homeschool unallocated,True,False,True
st_john_paul_the_great_catholic_high_school,St. John Paul the Great Catholic High School,private,private_school,PWCS,Private/homeschool unallocated,True,False,True
st_paul_vi_catholic_high_school,St. Paul VI Catholic High School,private,private_school,LCPS,Private/homeschool unallocated,True,False,True
the_madeira_school,The Madeira School,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
trinity_christian_school,Trinity Christian School,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
trinity_school_at_meadow_view,Trinity School at Meadow View,private,private_school,FCPS,Private/homeschool unallocated,True,False,True
thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,public,public_governor_school,FCPS,TJHSST,True,True,False
annandale_high_school,Annandale High School,public,public_high_school,FCPS,FCPS Region 2,True,True,False
battlefield_high_school,Battlefield High School,public,public_high_school,PWCS,Prince William,True,True,False
brentsville_district_high_school,Brentsville District High School,public,public_high_school,PWCS,Prince William,True,True,False
briar_woods_high_school,Briar Woods High School,public,public_high_school,LCPS,Loudoun,True,True,False
broad_run_high_school,Broad Run High School,public,public_high_school,LCPS,Loudoun,True,True,False
c_d_hylton_high_school,C.D. Hylton High School,public,public_high_school,PWCS,Prince William,True,True,False
centreville_high_school,Centreville High School,public,public_high_school,FCPS,FCPS Region 4,True,True,False
chantilly_high_school,Chantilly High School,public,public_high_school,FCPS,FCPS Region 5,True,True,False
charles_j_colgan_sr_high_school,Charles J. Colgan Sr. High School,public,public_high_school,PWCS,Prince William,True,True,False
dominion_high_school,Dominion High School,public,public_high_school,LCPS,Loudoun,True,True,False
edison_high_school,Edison High School,public,public_high_school,FCPS,FCPS Region 3,True,True,False
fairfax_high_school,Fairfax High School,public,public_high_school,FCPS,FCPS Region 5,True,True,False
falls_church_high_school,Falls Church High School,public,public_high_school,FCPS,FCPS Region 2,True,True,False
