group,class_year,school_count,nmsf_count,grade11_enrollment,nmsf_per_100_grade11
Balanced public including TJHSST,2023,59,299.000000,29913.000000,0.999565
Balanced public including TJHSST,2024,59,336.000000,30124.000000,1.115390
Balanced public including TJHSST,2025,59,254.000000,31201.000000,0.814076
Balanced public including TJHSST,2026,59,345.000000,31242.000000,1.104283
Balanced base public including program,2023,58,167.000000,29452.000000,0.567024
Balanced base public including program,2024,58,171.000000,29683.000000,0.576087
Balanced base public including program,2025,58,173.000000,30697.000000,0.563573
Balanced base public including program,2026,58,232.000000,30719.000000,0.755233
TJHSST,2023,1,132.000000,461.000000,28.633406
TJHSST,2024,1,165.000000,441.000000,37.414966
TJHSST,2025,1,81.000000,504.000000,16.071429
TJHSST,2026,1,113.000000,523.000000,21.606119
