scenario,scenario_family,base_public_post_vs_pre_participation_ratio,base_public_relative_participation_change_pct,tjhsst_post_vs_pre_participation_ratio,tjhsst_relative_participation_change_pct,base_public_participant_yield_change_pct,tjhsst_participant_yield_change_pct,base_public_expected_post_nmsf_at_unchanged_participant_yield,base_public_observed_post_nmsf,base_public_excess_vs_participation_scaled_baseline,tjhsst_expected_post_nmsf_at_unchanged_participant_yield,tjhsst_observed_post_nmsf,tjhsst_shortfall_vs_participation_scaled_baseline,base_excess_as_pct_of_tjhsst_shortfall,component_scaled_public_expected_post_nmsf,balanced_public_observed_post_nmsf,balanced_public_shortfall_vs_participation_scaled_baseline,tjhsst_participant_yield_below_pre,base_public_participant_yield_above_pre,partial_offset,balanced_public_shortfall_positive,interpretation
virginia_statewide_benchmark_applied_to_both_groups,statewide_benchmark,0.975901,-2.409942,0.975901,-2.409942,18.221325,-41.213744,342.577789,405.000000,62.422211,330.009111,194.000000,136.009111,45.895610,672.586901,599.000000,73.586901,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-10%_tj_-10%,plus_or_minus_10pct_group_specific_grid,0.900000,-10.000000,0.900000,-10.000000,28.191399,-36.256066,315.933833,405.000000,89.066167,304.342683,194.000000,110.342683,80.717783,620.276516,599.000000,21.276516,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-10%_tj_-5%,plus_or_minus_10pct_group_specific_grid,0.900000,-10.000000,0.950000,-5.000000,28.191399,-39.611010,315.933833,405.000000,89.066167,321.250610,194.000000,127.250610,69.992723,637.184443,599.000000,38.184443,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-10%_tj_+0%,plus_or_minus_10pct_group_specific_grid,0.900000,-10.000000,1.000000,0.000000,28.191399,-42.630459,315.933833,405.000000,89.066167,338.158537,194.000000,144.158537,61.783485,654.092369,599.000000,55.092369,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-10%_tj_+5%,plus_or_minus_10pct_group_specific_grid,0.900000,-10.000000,1.050000,5.000000,28.191399,-45.362342,315.933833,405.000000,89.066167,355.066463,194.000000,161.066463,55.297773,671.000296,599.000000,72.000296,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-10%_tj_+10%,plus_or_minus_10pct_group_specific_grid,0.900000,-10.000000,1.100000,10.000000,28.191399,-47.845872,315.933833,405.000000,89.066167,371.974390,194.000000,177.974390,50.044373,687.908223,599.000000,88.908223,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-5%_tj_-10%,plus_or_minus_10pct_group_specific_grid,0.950000,-5.000000,0.900000,-10.000000,21.444483,-36.256066,333.485712,405.000000,71.514288,304.342683,194.000000,110.342683,64.811083,637.828395,599.000000,38.828395,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-5%_tj_-5%,plus_or_minus_10pct_group_specific_grid,0.950000,-5.000000,0.950000,-5.000000,21.444483,-39.611010,333.485712,405.000000,71.514288,321.250610,194.000000,127.250610,56.199564,654.736322,599.000000,55.736322,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-5%_tj_+0%,plus_or_minus_10pct_group_specific_grid,0.950000,-5.000000,1.000000,0.000000,21.444483,-42.630459,333.485712,405.000000,71.514288,338.158537,194.000000,144.158537,49.608084,671.644249,599.000000,72.644249,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-5%_tj_+5%,plus_or_minus_10pct_group_specific_grid,0.950000,-5.000000,1.050000,5.000000,21.444483,-45.362342,333.485712,405.000000,71.514288,355.066463,194.000000,161.066463,44.400483,688.552176,599.000000,89.552176,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_-5%_tj_+10%,plus_or_minus_10pct_group_specific_grid,0.950000,-5.000000,1.100000,10.000000,21.444483,-47.845872,333.485712,405.000000,71.514288,371.974390,194.000000,177.974390,40.182347,705.460103,599.000000,106.460103,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_+0%_tj_-10%,plus_or_minus_10pct_group_specific_grid,1.000000,0.000000,0.900000,-10.000000,15.372259,-36.256066,351.037592,405.000000,53.962408,304.342683,194.000000,110.342683,48.904383,655.380275,599.000000,56.380275,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
stress_base_+0%_tj_-5%,plus_or_minus_10pct_group_specific_grid,1.000000,0.000000,0.950000,-5.000000,15.372259,-39.611010,351.037592,405.000000,53.962408,321.250610,194.000000,127.250610,42.406404,672.288202,599.000000,73.288202,True,True,True,True,Proportional participation scenario; not an estimate of local participation or causality
