tj_pathway,class_year,school_count,nmsf_count,grade11_enrollment,nmsf_per_100_grade11
Arlington,2023,4,15.000000,2110.000000,0.710900
Arlington,2024,4,13.000000,1972.000000,0.659229
Arlington,2025,4,15.000000,2179.000000,0.688389
Arlington,2026,4,20.000000,2183.000000,0.916170
FCPS Region 1,2023,5,38.000000,3031.000000,1.253712
FCPS Region 1,2024,5,34.000000,2885.000000,1.178510
FCPS Region 1,2025,5,43.000000,2963.000000,1.451232
FCPS Region 1,2026,5,59.000000,2909.000000,2.028188
FCPS Region 2,2023,5,30.000000,2673.000000,1.122334
FCPS Region 2,2024,5,22.000000,2786.000000,0.789663
FCPS Region 2,2025,5,21.000000,2979.000000,0.704935
FCPS Region 2,2026,5,37.000000,2917.000000,1.268426
FCPS Region 3,2023,5,4.000000,2625.000000,0.152381
FCPS Region 3,2024,5,1.000000,2580.000000,0.038760
FCPS Region 3,2025,5,4.000000,2747.000000,0.145613
FCPS Region 3,2026,5,3.000000,2763.000000,0.108578
FCPS Region 4,2023,5,11.000000,3226.000000,0.340980
FCPS Region 4,2024,5,9.000000,3163.000000,0.284540
FCPS Region 4,2025,5,19.000000,3215.000000,0.590980
FCPS Region 4,2026,5,14.000000,3362.000000,0.416419
FCPS Region 5,2023,4,23.000000,2513.000000,0.915241
FCPS Region 5,2024,4,33.000000,2701.000000,1.221770
FCPS Region 5,2025,4,23.000000,2568.000000,0.895639
FCPS Region 5,2026,4,36.000000,2744.000000,1.311953
Loudoun,2023,17,44.000000,6575.000000,0.669202
Loudoun,2024,17,57.000000,6707.000000,0.849858
Loudoun,2025,17,42.000000,6994.000000,0.600515
Loudoun,2026,17,57.000000,6930.000000,0.822511
Prince William,2023,13,2.000000,6699.000000,0.029855
Prince William,2024,13,2.000000,6889.000000,0.029032
Prince William,2025,13,6.000000,7052.000000,0.085082
Prince William,2026,13,6.000000,6911.000000,0.086818
