tj_pathway,class_year,pathway_nmsf_count_covered,pathway_grade11_enrollment_covered,pathway_nmsf_per_100_juniors_covered,pathway_operating_school_rows,pathway_compatible_school_rows,pathway_missing_nmsf_school_rows,pathway_missing_enrollment_school_rows,pathway_incompatible_school_rows,pathway_coverage_status,pathway_has_complete_compatible_coverage,pathway_interpretation_note
TJHSST,2019,159,429,37.062937,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2020,157,446,35.201794,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2021,132,439,30.068337,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2022,144,454,31.718062,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2023,132,461,28.633406,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2024,165,441,37.414966,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2025,81,504,16.071429,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
TJHSST,2026,113,523,21.606119,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2019,,,,4,0,4,1,4,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2020,,,,4,0,4,1,4,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2021,,,,4,0,4,1,4,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2022,,,,4,0,4,1,4,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2023,12,2001,0.599700,4,3,0,1,1,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2024,12,1863,0.644122,4,3,0,1,1,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2025,12,2064,0.581395,4,3,0,1,1,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Arlington,2026,14,2073,0.675350,4,3,0,1,1,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2019,,,,1,0,1,0,1,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2020,,,,1,0,1,0,1,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2021,,,,1,0,1,0,1,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2022,,,,1,0,1,0,1,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2023,0,195,0.000000,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2024,5,197,2.538071,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2025,,,,1,0,1,0,1,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Falls Church City,2026,5,245,2.040816,1,1,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2019,,,,15,0,15,1,15,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2020,,,,15,0,15,1,15,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2021,,,,16,0,16,1,16,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2022,,,,17,0,17,1,17,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2023,44,6575,0.669202,17,17,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2024,57,6707,0.849858,17,17,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2025,42,5559,0.755532,17,13,4,0,4,partial_compatible_coverage,false,"covered subset only; analytical geography, not observed admissions pathway"
Loudoun,2026,57,6930,0.822511,17,17,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2019,,,,12,0,12,1,12,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2020,,,,12,0,12,1,12,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2021,,,,12,0,12,1,12,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2022,,,,12,0,12,1,12,no_compatible_rows,false,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2023,2,6699,0.029855,13,13,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2024,2,6889,0.029032,13,13,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2025,6,7052,0.085082,13,13,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
Prince William,2026,6,6911,0.086818,13,13,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2019,42,3054,1.375246,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2020,23,2988,0.769746,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2021,37,3027,1.222332,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2022,24,2947,0.814388,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2023,38,3031,1.253712,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2024,34,2885,1.178510,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2025,43,2963,1.451232,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 1,2026,59,2909,2.028188,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2019,15,2967,0.505561,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2020,13,2867,0.453436,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2021,18,2867,0.627834,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2022,17,2730,0.622711,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2023,30,2673,1.122334,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2024,22,2786,0.789663,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2025,21,2979,0.704935,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 2,2026,37,2917,1.268426,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2019,3,2784,0.107759,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2020,1,2733,0.036590,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2021,1,2576,0.038820,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2022,5,2583,0.193573,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2023,4,2625,0.152381,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2024,1,2580,0.038760,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2025,4,2747,0.145613,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 3,2026,3,2763,0.108578,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
FCPS Region 4,2019,18,3199,0.562676,5,5,0,0,0,complete_compatible_coverage,true,"covered subset only; analytical geography, not observed admissions pathway"
