period,class_years,comparison_group,operating_school_year_rows,nmsf_count_available_rows,missing_nmsf_rows,compatible_rate_rows,nmsf_count_observed_total,annual_average_observed_nmsf_count,compatible_nmsf_count_total,compatible_grade11_enrollment_total,nmsf_per_100_juniors_covered,nmsf_count_coverage_status,rate_coverage_status,small_number_warning
pre_2023_2024,2023|2024,All schools including TJHSST,152,152,0,132,692,346.000000,655,61499,1.065058,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
pre_2023_2024,2023|2024,All schools excluding TJHSST,150,150,0,130,395,197.500000,358,60597,0.590788,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
pre_2023_2024,2023|2024,Public schools including TJHSST,120,120,0,120,640,320.000000,640,60429,1.059094,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
pre_2023_2024,2023|2024,Base public schools,118,118,0,118,343,171.500000,343,59527,0.576209,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
pre_2023_2024,2023|2024,Private schools,32,32,0,12,52,26.000000,15,1070,1.401869,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
pre_2023_2024,2023|2024,TJHSST,2,2,0,2,297,148.500000,297,902,32.926829,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
post_2025_2026,2025|2026,All schools including TJHSST,152,151,1,132,673,336.500000,634,63792,0.993855,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
post_2025_2026,2025|2026,All schools excluding TJHSST,150,149,1,130,479,239.500000,440,62765,0.701028,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
post_2025_2026,2025|2026,Public schools including TJHSST,120,119,1,119,604,302.000000,604,62688,0.963502,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
post_2025_2026,2025|2026,Base public schools,118,117,1,117,410,205.000000,410,61661,0.664926,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
post_2025_2026,2025|2026,Private schools,32,32,0,13,69,34.500000,30,1104,2.717391,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
post_2025_2026,2025|2026,TJHSST,2,2,0,2,194,97.000000,194,1027,18.889971,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
