class_year,school_group,operating_school_rows,nmsf_count_available_rows,missing_nmsf_rows,grade11_enrollment_available_rows,compatible_rate_rows,nmsf_count_observed_total,compatible_nmsf_count_total,compatible_grade11_enrollment_total,nmsf_per_100_juniors_covered,nmsf_count_coverage_status,rate_coverage_status,small_number_warning
2019,TJHSST,1,1,0,1,1,159,159,429,37.062937,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2019,Base public schools,56,24,32,53,24,95,95,14630,0.649351,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
2019,Private schools,16,0,16,7,0,,,,,no_nmsf_count_coverage,no_compatible_rate_coverage,false
2020,TJHSST,1,1,0,1,1,157,157,446,35.201794,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2020,Base public schools,56,24,32,53,24,80,80,14247,0.561522,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
2020,Private schools,16,0,16,0,0,,,,,no_nmsf_count_coverage,no_compatible_rate_coverage,false
2021,TJHSST,1,1,0,1,1,132,132,439,30.068337,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2021,Base public schools,57,24,33,54,24,80,80,14187,0.563897,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
2021,Private schools,16,0,16,8,0,,,,,no_nmsf_count_coverage,no_compatible_rate_coverage,false
2022,TJHSST,1,1,0,1,1,144,144,454,31.718062,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2022,Base public schools,58,24,34,55,24,71,71,14145,0.501944,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
2022,Private schools,16,0,16,0,0,,,,,no_nmsf_count_coverage,no_compatible_rate_coverage,false
2023,TJHSST,1,1,0,1,1,132,132,461,28.633406,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2023,Base public schools,59,59,0,58,58,167,164,29538,0.555217,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
2023,Private schools,16,16,0,10,10,24,12,968,1.239669,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
2024,TJHSST,1,1,0,1,1,165,165,441,37.414966,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2024,Base public schools,59,59,0,58,58,176,175,29771,0.587820,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
2024,Private schools,16,16,0,0,0,23,,,,complete_nmsf_count_coverage,no_compatible_rate_coverage,false
2025,TJHSST,1,1,0,1,1,81,81,504,16.071429,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2025,Base public schools,59,54,5,58,53,173,170,29147,0.583250,partial_nmsf_count_coverage,partial_compatible_rate_coverage,false
2025,Private schools,16,16,0,10,10,34,16,986,1.622718,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
2026,TJHSST,1,1,0,1,1,113,113,523,21.606119,complete_nmsf_count_coverage,complete_compatible_rate_coverage,false
2026,Base public schools,59,59,0,58,58,237,231,30854,0.748687,complete_nmsf_count_coverage,partial_compatible_rate_coverage,false
2026,Private schools,16,16,0,0,0,35,,,,complete_nmsf_count_coverage,no_compatible_rate_coverage,false
