school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,grade11_enrollment,nmsf_per_100_juniors,rate_status,row_coverage_status,nmsf_status,enrollment_status,denominator_gap_flag,nmsf_missingness_flag,rate_missingness_note
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2019,159,429,37.062937,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2020,157,446,35.201794,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2021,132,439,30.068337,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2022,144,454,31.718062,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2023,132,461,28.633406,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2024,165,441,37.414966,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2025,81,504,16.071429,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
TJHSST,TJHSST,FCPS,thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,2026,113,523,21.606119,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2019,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,source_row_not_found,true,true,missing NMSF count and grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2020,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,source_row_not_found,true,true,missing NMSF count and grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2021,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,source_row_not_found,true,true,missing NMSF count and grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2022,,,,missing_nmsf_and_grade11_enrollment,nmsf_and_denominator_gap,missing_source,source_row_not_found,true,true,missing NMSF count and grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2023,3,,,missing_grade11_enrollment,denominator_gap,verified_count,source_row_not_found,true,false,missing grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2024,1,,,missing_grade11_enrollment,denominator_gap,verified_count,source_row_not_found,true,false,missing grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2025,3,,,missing_grade11_enrollment,denominator_gap,verified_count,source_row_not_found,true,false,missing grade 11 denominator
Base public schools,Arlington,APS,h_b_woodlawn_secondary_program,H-B Woodlawn Secondary Program,2026,6,,,missing_grade11_enrollment,denominator_gap,verified_count,ccd_row_not_found,true,false,missing grade 11 denominator
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2019,,534,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2020,,549,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2021,,581,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2022,,613,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2023,2,637,0.313972,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Arlington,APS,wakefield_high_school,Wakefield High School,2024,,675,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
