group,class_year,school_count,nmsf_count
All balanced count schools,2023,58,307.000000
All balanced count schools,2024,58,347.000000
All balanced count schools,2025,58,267.000000
All balanced count schools,2026,58,361.000000
Balanced count schools excluding TJHSST,2023,57,175.000000
Balanced count schools excluding TJHSST,2024,57,182.000000
Balanced count schools excluding TJHSST,2025,57,186.000000
Balanced count schools excluding TJHSST,2026,57,248.000000
Balanced base public including program,2023,53,162.000000
Balanced base public including program,2024,53,167.000000
Balanced base public including program,2025,53,171.000000
Balanced base public including program,2026,53,230.000000
Balanced conventional base public,2023,52,159.000000
Balanced conventional base public,2024,52,166.000000
Balanced conventional base public,2025,52,168.000000
Balanced conventional base public,2026,52,224.000000
Balanced private schools,2023,4,13.000000
Balanced private schools,2024,4,15.000000
Balanced private schools,2025,4,15.000000
Balanced private schools,2026,4,18.000000
TJHSST,2023,1,132.000000
TJHSST,2024,1,165.000000
TJHSST,2025,1,81.000000
TJHSST,2026,1,113.000000
