group,class_year,school_count,nmsf_count,grade11_enrollment,nmsf_per_100_grade11
Balanced public including TJHSST,2023,51,288.000000,26807.000000,1.074346
Balanced public including TJHSST,2024,51,324.000000,26959.000000,1.201825
Balanced public including TJHSST,2025,51,247.000000,27975.000000,0.882931
Balanced public including TJHSST,2026,51,330.000000,28107.000000,1.174085
Balanced conventional base public,2023,50,156.000000,26346.000000,0.592120
Balanced conventional base public,2024,50,159.000000,26518.000000,0.599593
Balanced conventional base public,2025,50,166.000000,27471.000000,0.604274
Balanced conventional base public,2026,50,217.000000,27584.000000,0.786688
TJHSST,2023,1,132.000000,461.000000,28.633406
TJHSST,2024,1,165.000000,441.000000,37.414966
TJHSST,2025,1,81.000000,504.000000,16.071429
TJHSST,2026,1,113.000000,523.000000,21.606119
