group,class_year,operating_school_rows,observed_count_rows,missing_count_rows,observed_nmsf_total,rate_compatible_rows,rate_compatible_nmsf_count,rate_compatible_grade11_enrollment,covered_nmsf_per_100_grade11,count_coverage_pct,rate_coverage_pct
All TJ-zone roster rows,2023,76,76,0,323.000000,69,308.000000,30967.000000,0.994607,100.000000,90.789474
All TJ-zone roster rows,2024,76,76,0,364.000000,59,340.000000,30212.000000,1.125381,100.000000,77.631579
All TJ-zone roster rows,2025,76,71,5,288.000000,64,267.000000,30637.000000,0.871495,93.421053,84.210526
All TJ-zone roster rows,2026,76,76,0,385.000000,59,344.000000,31377.000000,1.096344,100.000000,77.631579
TJ-zone excluding TJHSST,2023,75,75,0,191.000000,68,176.000000,30506.000000,0.576936,100.000000,90.666667
TJ-zone excluding TJHSST,2024,75,75,0,199.000000,58,175.000000,29771.000000,0.587820,100.000000,77.333333
TJ-zone excluding TJHSST,2025,75,70,5,207.000000,63,186.000000,30133.000000,0.617263,93.333333,84.000000
TJ-zone excluding TJHSST,2026,75,75,0,272.000000,58,231.000000,30854.000000,0.748687,100.000000,77.333333
All public including TJHSST,2023,60,60,0,299.000000,59,296.000000,29999.000000,0.986700,100.000000,98.333333
All public including TJHSST,2024,60,60,0,341.000000,59,340.000000,30212.000000,1.125381,100.000000,98.333333
All public including TJHSST,2025,60,55,5,254.000000,54,251.000000,29651.000000,0.846514,91.666667,90.000000
All public including TJHSST,2026,60,60,0,350.000000,59,344.000000,31377.000000,1.096344,100.000000,98.333333
Base public including secondary program,2023,59,59,0,167.000000,58,164.000000,29538.000000,0.555217,100.000000,98.305085
Base public including secondary program,2024,59,59,0,176.000000,58,175.000000,29771.000000,0.587820,100.000000,98.305085
Base public including secondary program,2025,59,54,5,173.000000,53,170.000000,29147.000000,0.583250,91.525424,89.830508
Base public including secondary program,2026,59,59,0,237.000000,58,231.000000,30854.000000,0.748687,100.000000,98.305085
Conventional base public high schools,2023,58,58,0,164.000000,58,164.000000,29538.000000,0.555217,100.000000,100.000000
Conventional base public high schools,2024,58,58,0,175.000000,58,175.000000,29771.000000,0.587820,100.000000,100.000000
Conventional base public high schools,2025,58,53,5,170.000000,53,170.000000,29147.000000,0.583250,91.379310,91.379310
Conventional base public high schools,2026,58,58,0,231.000000,58,231.000000,30854.000000,0.748687,100.000000,100.000000
Private schools,2023,16,16,0,24.000000,10,12.000000,968.000000,1.239669,100.000000,62.500000
Private schools,2024,16,16,0,23.000000,0,,,,100.000000,0.000000
Private schools,2025,16,16,0,34.000000,10,16.000000,986.000000,1.622718,100.000000,62.500000
Private schools,2026,16,16,0,35.000000,0,,,,100.000000,0.000000
TJHSST,2023,1,1,0,132.000000,1,132.000000,461.000000,28.633406,100.000000,100.000000
TJHSST,2024,1,1,0,165.000000,1,165.000000,441.000000,37.414966,100.000000,100.000000
TJHSST,2025,1,1,0,81.000000,1,81.000000,504.000000,16.071429,100.000000,100.000000
TJHSST,2026,1,1,0,113.000000,1,113.000000,523.000000,21.606119,100.000000,100.000000
