tj_pathway,class_year,school_count,nmsf_count,grade11_enrollment,nmsf_per_100_grade11
Arlington,2023,2,10.000000,1364.000000,0.733138
Arlington,2024,2,12.000000,1188.000000,1.010101
Arlington,2025,2,10.000000,1342.000000,0.745156
Arlington,2026,2,14.000000,1408.000000,0.994318
FCPS Region 1,2023,5,38.000000,3031.000000,1.253712
FCPS Region 1,2024,5,34.000000,2885.000000,1.178510
FCPS Region 1,2025,5,43.000000,2963.000000,1.451232
FCPS Region 1,2026,5,59.000000,2909.000000,2.028188
FCPS Region 2,2023,5,30.000000,2673.000000,1.122334
FCPS Region 2,2024,5,22.000000,2786.000000,0.789663
FCPS Region 2,2025,5,21.000000,2979.000000,0.704935
FCPS Region 2,2026,5,37.000000,2917.000000,1.268426
FCPS Region 3,2023,5,4.000000,2625.000000,0.152381
FCPS Region 3,2024,5,1.000000,2580.000000,0.038760
FCPS Region 3,2025,5,4.000000,2747.000000,0.145613
FCPS Region 3,2026,5,3.000000,2763.000000,0.108578
FCPS Region 4,2023,5,11.000000,3226.000000,0.340980
FCPS Region 4,2024,5,9.000000,3163.000000,0.284540
FCPS Region 4,2025,5,19.000000,3215.000000,0.590980
FCPS Region 4,2026,5,14.000000,3362.000000,0.416419
FCPS Region 5,2023,4,23.000000,2513.000000,0.915241
FCPS Region 5,2024,4,33.000000,2701.000000,1.221770
FCPS Region 5,2025,4,23.000000,2568.000000,0.895639
FCPS Region 5,2026,4,36.000000,2744.000000,1.311953
Loudoun,2023,12,38.000000,4685.000000,0.811099
Loudoun,2024,12,46.000000,4821.000000,0.954159
Loudoun,2025,12,40.000000,5046.000000,0.792707
Loudoun,2026,12,48.000000,5110.000000,0.939335
Prince William,2023,12,2.000000,6229.000000,0.032108
Prince William,2024,12,2.000000,6394.000000,0.031279
Prince William,2025,12,6.000000,6611.000000,0.090758
Prince William,2026,12,6.000000,6371.000000,0.094177
