school_id,school,tj_pathway,nmsf_2023_2024,grade11_2023_2024,rate_2023_2024,nmsf_2025_2026,grade11_2025_2026,rate_2025_2026,rate_point_change,direction
langley_high_school,Langley High School,FCPS Region 1,28.000000,1036.000000,2.702703,42.000000,1071.000000,3.921569,1.218866,increase
oakton_high_school,Oakton High School,FCPS Region 1,25.000000,1364.000000,1.832845,36.000000,1335.000000,2.696629,0.863785,increase
riverside_high_school,Riverside High School,Loudoun,3.000000,895.000000,0.335196,9.000000,896.000000,1.004464,0.669269,increase
centreville_high_school,Centreville High School,FCPS Region 4,3.000000,1306.000000,0.229709,10.000000,1276.000000,0.783699,0.553990,increase
marshall_high_school,Marshall High School,FCPS Region 2,13.000000,1024.000000,1.269531,20.000000,1124.000000,1.779359,0.509828,increase
independence_high_school,Independence High School,Loudoun,8.000000,931.000000,0.859291,14.000000,1059.000000,1.322002,0.462711,increase
dominion_high_school,Dominion High School,Loudoun,2.000000,705.000000,0.283688,5.000000,752.000000,0.664894,0.381206,increase
battlefield_high_school,Battlefield High School,Prince William,0.000000,1222.000000,0.000000,4.000000,1062.000000,0.376648,0.376648,increase
south_lakes_high_school,South Lakes High School,FCPS Region 1,0.000000,1259.000000,0.000000,4.000000,1203.000000,0.332502,0.332502,increase
fairfax_high_school,Fairfax High School,FCPS Region 5,5.000000,1207.000000,0.414250,9.000000,1239.000000,0.726392,0.312142,increase
lake_braddock_secondary_school_hs,Lake Braddock Secondary School (HS),FCPS Region 4,9.000000,1402.000000,0.641940,14.000000,1531.000000,0.914435,0.272495,increase
edison_high_school,Edison High School,FCPS Region 3,1.000000,1051.000000,0.095147,4.000000,1203.000000,0.332502,0.237355,increase
chantilly_high_school,Chantilly High School,FCPS Region 5,23.000000,1431.000000,1.607268,27.000000,1496.000000,1.804813,0.197545,increase
herndon_high_school,Herndon High School,FCPS Region 1,1.000000,1138.000000,0.087873,3.000000,1220.000000,0.245902,0.158028,increase
charles_j_colgan_sr_high_school,Charles J. Colgan Sr. High School,Prince William,0.000000,1452.000000,0.000000,2.000000,1387.000000,0.144196,0.144196,increase
west_springfield_high_school,West Springfield High School,FCPS Region 4,3.000000,1283.000000,0.233827,5.000000,1386.000000,0.360750,0.126923,increase
patriot_high_school,Patriot High School,Prince William,1.000000,1124.000000,0.088968,2.000000,950.000000,0.210526,0.121558,increase
