class_year,group,group_nmsf_count,virginia_selection_index_cutoff,virginia_statewide_semifinalist_total,group_share_of_statewide_total_pct,source_status,state_total_status,state_total_source_title,cutoff_source_url,state_total_source_url
2023,Balanced count all schools,320.000000,221,400.000000,80.000000,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2023 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view
2023,Balanced public including TJHSST,293.000000,221,400.000000,73.250000,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2023 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view
2023,Balanced conventional base public,161.000000,221,400.000000,40.250000,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2023 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view
2023,TJHSST,132.000000,221,400.000000,33.000000,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2023 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view
2023,Balanced private schools,24.000000,221,400.000000,6.000000,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2023 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view
2024,Balanced count all schools,355.000000,219,470.000000,75.531915,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2024 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf
2024,Balanced public including TJHSST,331.000000,219,470.000000,70.425532,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2024 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf
2024,Balanced conventional base public,166.000000,219,470.000000,35.319149,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2024 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf
2024,TJHSST,165.000000,219,470.000000,35.106383,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2024 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf
2024,Balanced private schools,23.000000,219,470.000000,4.893617,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2024 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf
2025,Balanced count all schools,288.000000,222,394.000000,73.096447,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/
2025,Balanced public including TJHSST,251.000000,222,394.000000,63.705584,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/
2025,Balanced conventional base public,170.000000,222,394.000000,43.147208,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/
2025,TJHSST,81.000000,222,394.000000,20.558376,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/
2025,Balanced private schools,34.000000,222,394.000000,8.629442,cutoff_secondary_state_total_supplemental_secondary_not_imported_to_canonical_panel,supplemental_secondary_not_imported_to_canonical_panel,Compass National Merit Semifinalists and Commended Students by State,https://www.compassprep.com/historical-national-merit-cutoffs/,https://www.compassprep.com/national-merit-semifinalists-by-state/
2026,Balanced count all schools,378.000000,224,494.000000,76.518219,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2026 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view
2026,Balanced public including TJHSST,337.000000,224,494.000000,68.218623,cutoff_secondary_state_total_source_backed_total,source_backed_total,Semifinalists in the 2026 National Merit Scholarship Program - Virginia list,https://www.compassprep.com/historical-national-merit-cutoffs/,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view
