class_year,group,nmsf_count_total,missing_nmsf_rows,virginia_location_nmsf_semifinalist_total,share_of_virginia_location_total_pct,virginia_location_total_status,virginia_location_total_source_url,state_selection_unit_nmsf_semifinalist_total,state_selection_unit_total_status,state_selection_unit_reconciliation_status,coverage_note
2019,TJ-zone including TJHSST,,48,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2019,TJHSST,159,0,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2019,Conventional base public,,31,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2019,Private/homeschool unallocated,,16,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2019,TJ-zone excluding TJHSST,,48,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2019,Virginia outside TJ-zone,,48,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2020,TJ-zone including TJHSST,,48,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2020,TJHSST,157,0,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2020,Conventional base public,,31,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2020,Private/homeschool unallocated,,16,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2020,TJ-zone excluding TJHSST,,48,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2020,Virginia outside TJ-zone,,48,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2021,TJ-zone including TJHSST,,49,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2021,TJHSST,132,0,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2021,Conventional base public,,32,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2021,Private/homeschool unallocated,,16,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2021,TJ-zone excluding TJHSST,,49,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2021,Virginia outside TJ-zone,,49,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2022,TJ-zone including TJHSST,,50,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2022,TJHSST,144,0,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2022,Conventional base public,,33,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2022,Private/homeschool unallocated,,16,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2022,TJ-zone excluding TJHSST,,50,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2022,Virginia outside TJ-zone,,50,,,not_sourced,,,not_sourced,not_sourced,Virginia school-location total not source-backed for this class year
2023,TJ-zone including TJHSST,325,0,400,81.250000,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,397,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2023,TJHSST,132,0,400,33.000000,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,397,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2023,Conventional base public,164,0,400,41.000000,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,397,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2023,Private/homeschool unallocated,26,0,400,6.500000,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,397,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2023,TJ-zone excluding TJHSST,193,0,400,48.250000,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,397,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2023,Virginia outside TJ-zone,75,0,400,18.750000,source_backed_location_total,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,397,source_backed_state_selection_unit_total,exact_boarding_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2024,TJ-zone including TJHSST,367,0,470,78.085106,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,467,source_backed_state_selection_unit_total,partial_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2024,TJHSST,165,0,470,35.106383,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,467,source_backed_state_selection_unit_total,partial_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2024,Conventional base public,175,0,470,37.234043,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,467,source_backed_state_selection_unit_total,partial_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2024,Private/homeschool unallocated,26,0,470,5.531915,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,467,source_backed_state_selection_unit_total,partial_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2024,TJ-zone excluding TJHSST,202,0,470,42.978723,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,467,source_backed_state_selection_unit_total,partial_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2024,Virginia outside TJ-zone,103,0,470,21.914894,source_backed_location_total,https://web.archive.org/web/20230915001040if_/https%3A//litter.catbox.moe/5lujlt.pdf,467,source_backed_state_selection_unit_total,partial_scope_reconciliation,source-backed count and scope-matched Virginia school-location denominator
2025,TJ-zone including TJHSST,,1,,,not_sourced,,394,source_backed_state_selection_unit_total,location_total_not_sourced,Virginia school-location total not source-backed for this class year
